구분별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,검역,전국거리두기,수도권거리두기,전체
2020. 08. 07,9,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,5,1,1,20
2020. 08. 08,17,0,1,2,0,0,0,0,18,0,0,0,0,0,0,0,0,5,1,1,43
2020. 08. 09,13,0,1,1,2,0,1,0,15,0,1,1,0,0,0,0,0,1,1,1,36
2020. 08. 10,13,1,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,6,1,1,28
2020. 08. 11,6,9,0,0,0,0,0,0,13,0,0,2,1,0,0,0,0,3,1,1,34
2020. 08. 12,15,4,0,0,6,1,0,0,19,0,0,1,0,0,0,0,0,8,1,1,54
2020. 08. 13,26,2,1,0,2,0,1,0,17,0,0,1,2,0,0,1,0,3,1,1,56
2020. 08. 14,32,5,0,4,2,0,1,0,47,1,0,3,0,0,1,0,0,7,1,1,103
2020. 08. 15,74,3,0,6,1,1,0,0,72,3,0,2,1,0,0,1,0,2,1,1,166
2020. 08. 16,146,7,1,9,7,0,3,0,98,0,1,5,0,0,0,2,0,0,1,2,279
2020. 08. 17,90,7,1,7,7,2,0,0,70,1,3,4,1,0,2,0,0,2,1,2,197
2020. 08. 18,132,7,6,18,4,0,3,0,52,2,1,5,7,0,3,0,0,6,1,2,246
2020. 08. 19,151,9,2,8,6,0,0,2,99,6,2,3,1,2,3,1,0,2,1,2,297
2020. 08. 20,135,15,3,10,1,8,0,1,85,5,1,5,6,3,5,3,0,2,1,2,288
2020. 08. 21,126,8,4,18,5,7,1,3,103,9,3,13,5,6,6,4,0,3,1,2,324
2020. 08. 22,128,3,9,22,11,5,3,1,95,16,2,7,4,7,4,9,2,4,1,2,332
2020. 08. 23,140,2,6,32,17,15,3,0,125,15,3,10,0,14,2,9,0,4,1,2,397
2020. 08. 24,97,3,0,20,1,10,1,3,85,6,10,8,4,7,6,1,0,4,1,2,266
2020. 08. 25,134,3,5,15,4,11,0,3,72,8,2,9,4,1,1,2,3,3,2,2,280
2020. 08. 26,112,4,3,27,7,7,2,0,98,18,0,12,7,13,0,5,2,3,2,2,320
2020. 08. 27,154,8,13,59,39,3,2,0,102,14,1,15,2,13,4,8,1,3,2,2,441
2020. 08. 28,146,8,8,27,17,3,1,2,113,3,5,9,2,12,1,4,2,8,2,2,371
2020. 08. 29,125,6,6,20,16,4,0,0,104,0,6,8,0,9,1,12,1,5,2,2,323
2020. 08. 30,116,6,30,13,2,6,3,1,80,2,5,8,0,8,3,7,2,7,2,2,299
2020. 08. 31,94,4,4,14,9,7,5,1,79,3,1,9,1,5,2,1,6,3,2,2.5,248
2020. 09. 01,94,3,2,22,4,8,6,0,63,4,1,7,0,4,9,3,1,4,2,2.5,235
2020. 09. 02,101,7,13,11,10,14,5,0,84,2,1,7,0,3,4,1,1,3,2,2.5,267
2020. 09. 03,69,4,3,16,6,4,8,0,64,4,1,7,0,6,0,0,0,3,2,2.5,195
2020. 09. 04,68,4,7,5,11,4,3,0,56,3,4,21,0,1,4,3,0,4,2,2.5,198
2020. 09. 05,51,10,5,14,8,2,1,0,50,3,4,4,2,0,1,8,1,4,2,2.5,168
